Role,KEY,Component Type,Item,Level,Time,Done,UI component,Backend component,Network component,Database component,Video component,Semantic component,SMTP component,Encryption component,Filesystem component,I18n component,Search Algorithm component,Compression component,Blueprint Component,Wireframe Component,Graphics Component,UI Element,UI Set,Responsive UI,Documentation Component,Design Guidelines,Interface module,Frontend module,Backend module,Input module,Storage module,Content Management module,Video Playback module,SEO module,Email module,Database module,Notification module,Authentication module,Payment Gateway module,Localization module,Search module,Bandwidth Compression module,Code Optimization module,ApiClient module
Developer,1,raw,UI component,Beginner,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,2,raw,Backend component,Beginner,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,3,raw,Network component,Beginner,6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,4,raw,Database component,Beginner,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,5,raw,Video component,Beginner,14 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,6,raw,Semantic component,Intermediate,3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,7,raw,SMTP component,Intermediate,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,8,raw,Encryption component,Intermediate,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,9,raw,Filesystem component,Intermediate,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,10,raw,I18n component,Expert,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,11,raw,Search Algorithm component,Expert,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,12,raw,Compression component, ,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,13,raw,Blueprint Component,Beginner,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,14,raw,Wireframe Component,Beginner,3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,15,raw,Graphics Component,Beginner,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,16,level 1,UI Element,Beginner,6 hours,Y,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Designer,17,,UI Set,Intermediate,18 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,18,,Responsive UI,Intermediate,18 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,19,,Documentation Component,Expert,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designer,20,,Design Guidelines,Expert,90 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,21,level 2,Interface module,Beginner,15 hours,Y ,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,22,level 3,Frontend module,Beginner,21 hours,Y ,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
Lead Developer,23,,Backend module,Beginner,10 hours,Y ,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,24,,Input module,Beginner,6 hours,Y ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,25,,Storage module,Beginner,8 hours,Y ,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,26,,Content Management module,Beginner,37 hours,Y ,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
Lead Developer,27,,Video Playback module,Beginner,45 hours,Y ,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Lead Developer,28,,SEO module,Intermediate,24 hours,24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,29,,Email module,Intermediate,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,30,,Database module,Intermediate,14 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,31,,Notification module,Intermediate,18 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,32,,Authentication module,Intermediate,22 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,33,,Payment Gateway module,Expert,76 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,34,,Localization module,Expert,25 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,35,,Search module,Expert,20 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,36,,Bandwidth Compression module,Expert,18 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,37,,Code Optimization module,Expert,90 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Developer,38,,ApiClient module,Expert,40 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,